index	word	Adaptation	Mitigation	Non-climate
0	<PAD>	0.12242961	0.6225577	0.25501272
1	<START>	0.122563526	0.623952	0.2534845
2	<UNK>	0.12155236	0.62286747	0.25558025
3	<UNUSED>	0.12158204	0.6244155	0.2540024
4	contents	0.15315573	0.61692363	0.2299207
5	foreword	0.14883164	0.5871891	0.26397932
6	chapter	0.14981006	0.6260326	0.22415738
7	challenge	0.113476016	0.5628663	0.32365772
8	climate	0.1035795	0.6967712	0.19964938
9	change	0.10423169	0.6961364	0.19963199
10	approach	0.1321573	0.6177078	0.25013494
11	secure	0.15640771	0.5952599	0.24833234
12	sustainable	0.12810177	0.6747114	0.19718683
13	low	0.15622038	0.6072941	0.23648553
14	carbon	0.15790766	0.6067359	0.23535636
15	energy	0.15845641	0.60984194	0.23170158
16	saving	0.14896096	0.5993891	0.25164998
17	homes	0.12159619	0.67946094	0.19894283
18	communities	0.120482706	0.68043995	0.19907741
19	reducing	0.15554935	0.60839486	0.23605575
20	emissions	0.15820958	0.6030207	0.23876968
21	business	0.097003676	0.6148425	0.28815386
22	industry	0.15592718	0.6116724	0.23240042
23	towards	0.14091788	0.55549544	0.3035867
24	transport	0.15364401	0.6107523	0.23560366
25	cutting	0.13863307	0.6117264	0.24964052
26	waste	0.15927221	0.60680616	0.23392163
27	managing	0.10252732	0.6886184	0.20885418
28	land	0.13020673	0.6677812	0.20201202
29	sustainably	0.10621072	0.68837297	0.20541635
30	public	0.10158722	0.6793418	0.21907102
31	sector	0.12681127	0.6587451	0.2144436
32	developing	0.1515278	0.59227705	0.25619513
33	leadership	0.11906445	0.5709003	0.31003532
34	european	0.14444096	0.55512875	0.30043027
35	union	0.110836945	0.5867268	0.30243626
36	building	0.13048175	0.67297196	0.19654626
37	case	0.12062569	0.61032796	0.26904637
38	global	0.15569358	0.6143125	0.22999395
39	ambition	0.15055639	0.5737018	0.27574185
40	key	0.13576314	0.61261064	0.2516262
41	countries	0.16143182	0.60638106	0.23218712
42	international	0.15514019	0.60864687	0.23621297
43	institutions	0.12396209	0.5770445	0.29899338
44	supporting	0.14077653	0.556315	0.30290848
45	development	0.15960507	0.604204	0.2361909
46	resilient	0.1041811	0.69581807	0.20000087
47	economies	0.15976898	0.59922165	0.2410094
48	ensuring	0.12395149	0.5961147	0.27993387
49	progress	0.14940283	0.6193792	0.2312179
50	negotiations	0.15437205	0.57919884	0.26642907
51	action	0.10886065	0.69029677	0.20084256
52	northern	0.12884721	0.66955894	0.20159379
53	ireland	0.13900335	0.6484417	0.21255493
54	scotland	0.13693786	0.57041514	0.29264697
55	wales	0.13856162	0.6054376	0.25600076
56	way	0.13916327	0.56522834	0.2956083
57	travel	0.16217971	0.6066304	0.2311899
58	means	0.098018125	0.6453139	0.25666794
59	better	0.10570796	0.5989902	0.29530182
60	petrol	0.14769681	0.6155314	0.2367718
61	diesel	0.15104066	0.60793656	0.24102287
62	engines	0.15189219	0.60593337	0.2421744
63	moving	0.11287099	0.56844586	0.31868315
64	alternative	0.14775023	0.62553215	0.22671767
65	technologies	0.15687624	0.59985936	0.24326438
66	such	0.13175382	0.6403614	0.22788472
67	electric	0.15637484	0.6048894	0.23873574
68	vehicles	0.15055789	0.6010192	0.24842292
69	becoming	0.09637995	0.62917113	0.27444893
70	economy	0.15411128	0.5939925	0.2518962
71	will	0.12368228	0.6128844	0.26343328
72	one	0.110200636	0.5913499	0.29844952
73	greatest	0.12111625	0.6627171	0.21616662
74	changes	0.103576146	0.6495882	0.2468356
75	country	0.09934717	0.62627226	0.27438062
76	has	0.11769613	0.63514143	0.24716243
77	ever	0.13027324	0.5613476	0.30837917
78	known	0.10297026	0.6816076	0.21542218
79	society	0.099717356	0.6537487	0.24653396
80	planet	0.14288147	0.62904865	0.22806995
81	plan	0.110226974	0.6817131	0.20805985
82	shows	0.12985505	0.55137706	0.31876788
83	how	0.10658532	0.6595676	0.23384708
84	together	0.13940436	0.56754494	0.29305074
85	can	0.12626155	0.575503	0.29823542
86	make	0.11096133	0.59083	0.29820856
87	happen	0.09558429	0.62004405	0.2843717
88	david	0.13610637	0.5405385	0.3233552
89	cameron	0.14308417	0.62677085	0.23014496
90	prime	0.13482268	0.5621003	0.30307704
91	minister	0.14259242	0.58356744	0.27384016
92	nick	0.15465687	0.62256324	0.22277994
93	clegg	0.14198919	0.6284878	0.22952297
94	deputy	0.15228097	0.61193323	0.23578575
95	chris	0.14513506	0.6317236	0.22314139
96	huhne	0.15274924	0.6153539	0.23189686
97	secretary	0.092664346	0.6458194	0.26151624
98	state	0.101013616	0.6268496	0.2721368
99	sets	0.10984282	0.61498785	0.27516934
100	vision	0.11317715	0.5640114	0.32281148
101	changed	0.15136217	0.60528517	0.24335273
102	britain	0.11182559	0.5818289	0.30634546
103	powered	0.14556769	0.60462594	0.24980637
104	cleaner	0.14969529	0.61576235	0.23454238
105	used	0.15035044	0.59563786	0.2540117
106	more	0.11095554	0.6058743	0.28317022
